age_group,base_life_expectancy,smoking,exercise,diet,alcohol,sleep,stress,social_connections,lifestyle_impact,adjusted_life_expectancy,years_lost,years_gained,risk_score
30-34,48.6,current_light,sedentary,average,light,poor,minimal,limited,-11.799999999999999,36.800000000000004,11.799999999999999,0.0,73.6
20-24,58.2,current_heavy,moderate,good,moderate,poor,moderate,strong,-10.999999999999996,47.2,10.999999999999996,0.0,72.0
30-34,48.6,current_light,light,excellent,moderate,average,high,strong,-7.499999999999999,41.1,7.499999999999999,0.0,65.0
60-64,19.8,former,sedentary,good,heavy,excellent,minimal,strong,-5.999999999999997,13.800000000000004,5.999999999999997,0.0,61.99999999999999
65-69,15.0,current_light,moderate,poor,moderate,poor,minimal,moderate,-9.899999999999999,5.100000000000001,9.899999999999999,0.0,69.8
60-64,19.8,never,sedentary,average,none,poor,minimal,limited,-6.1,13.700000000000001,6.1,0.0,62.2
50-54,29.4,current_light,sedentary,average,light,excellent,low,moderate,-9.0,20.4,9.0,0.0,68.0
20-24,58.2,current_light,light,poor,none,average,moderate,limited,-12.799999999999999,45.400000000000006,12.799999999999999,0.0,75.6
30-34,48.6,current_heavy,moderate,good,heavy,excellent,moderate,strong,-11.099999999999998,37.5,11.099999999999998,0.0,72.19999999999999
30-34,48.6,current_heavy,moderate,poor,none,good,moderate,moderate,-12.599999999999998,36.0,12.599999999999998,0.0,75.19999999999999
20-24,58.2,current_heavy,vigorous,good,moderate,good,minimal,limited,-6.9,51.300000000000004,6.9,0.0,63.8
65-69,15.0,former,moderate,average,heavy,poor,high,strong,-11.8,3.1999999999999993,11.8,0.0,73.6
35-39,43.8,never,vigorous,good,heavy,good,moderate,isolated,-6.5,37.3,6.5,0.0,63.0
25-29,53.4,former,moderate,poor,none,good,low,moderate,-5.2,48.199999999999996,5.2,0.0,60.4
60-64,19.8,never,moderate,good,moderate,excellent,low,limited,-0.9000000000000001,18.900000000000002,0.9000000000000001,0.0,51.8
20-24,58.2,former,moderate,average,moderate,poor,high,isolated,-13.2,45.0,13.2,0.0,76.4
50-54,29.4,never,vigorous,average,light,average,minimal,limited,1.0999999999999996,30.5,0.0,1.0999999999999996,47.8
50-54,29.4,current_heavy,vigorous,excellent,light,average,high,limited,-9.0,20.4,9.0,0.0,68.0
60-64,19.8,current_light,light,average,light,excellent,high,moderate,-10.2,9.600000000000001,10.2,0.0,70.4
25-29,53.4,current_light,light,excellent,light,average,high,moderate,-8.5,44.9,8.5,0.0,67.0
40-44,39.0,former,vigorous,average,none,excellent,moderate,limited,-1.7000000000000004,37.3,1.7000000000000004,0.0,53.4
35-39,43.8,former,moderate,poor,heavy,excellent,high,isolated,-15.399999999999999,28.4,15.399999999999999,0.0,80.8
40-44,39.0,never,sedentary,good,none,good,low,isolated,-6.3999999999999995,32.6,6.3999999999999995,0.0,62.8
35-39,43.8,current_heavy,moderate,excellent,light,good,moderate,isolated,-9.899999999999999,33.9,9.899999999999999,0.0,69.8
65-69,15.0,former,vigorous,good,light,good,moderate,isolated,-4.2,10.8,4.2,0.0,58.4
60-64,19.8,current_heavy,vigorous,good,none,excellent,minimal,isolated,-5.5,14.3,5.5,0.0,61.0
35-39,43.8,former,sedentary,average,none,good,moderate,isolated,-11.2,32.599999999999994,11.2,0.0,72.4
60-64,19.8,former,vigorous,excellent,none,average,moderate,moderate,1.0999999999999999,20.900000000000002,0.0,1.0999999999999999,47.8
35-39,43.8,current_light,light,good,light,average,moderate,moderate,-9.0,34.8,9.0,0.0,68.0
35-39,43.8,never,light,good,moderate,excellent,low,moderate,-1.6,42.199999999999996,1.6,0.0,53.2
20-24,58.2,former,vigorous,average,none,poor,minimal,moderate,-1.1000000000000003,57.1,1.1000000000000003,0.0,52.2
55-59,24.6,former,moderate,average,heavy,excellent,minimal,isolated,-8.0,16.6,8.0,0.0,66.0
50-54,29.4,former,moderate,poor,light,good,minimal,strong,-1.7000000000000002,27.7,1.7000000000000002,0.0,53.4
20-24,58.2,current_light,moderate,excellent,none,good,high,strong,-3.2,55.0,3.2,0.0,56.4
60-64,19.8,current_light,light,excellent,none,average,low,moderate,-4.5,15.3,4.5,0.0,59.0
45-49,34.2,former,vigorous,poor,none,good,moderate,strong,-1.9000000000000004,32.300000000000004,1.9000000000000004,0.0,53.8
30-34,48.6,current_light,light,good,moderate,excellent,low,strong,-4.599999999999999,44.0,4.599999999999999,0.0,59.199999999999996
30-34,48.6,current_light,light,excellent,moderate,average,high,limited,-10.799999999999999,37.800000000000004,10.799999999999999,0.0,71.6
30-34,48.6,former,vigorous,average,none,poor,minimal,strong,1.0999999999999999,49.7,0.0,1.0999999999999999,47.8
55-59,24.6,current_heavy,vigorous,good,heavy,average,minimal,moderate,-10.2,14.400000000000002,10.2,0.0,70.4
20-24,58.2,never,sedentary,good,light,excellent,low,moderate,-2.6999999999999997,55.5,2.6999999999999997,0.0,55.4
40-44,39.0,current_light,sedentary,good,heavy,good,moderate,strong,-13.100000000000001,25.9,13.100000000000001,0.0,76.2
30-34,48.6,never,vigorous,good,light,poor,minimal,isolated,-0.8,47.800000000000004,0.8,0.0,51.6
65-69,15.0,never,moderate,poor,none,poor,moderate,strong,-3.8000000000000007,11.2,3.8000000000000007,0.0,57.6
50-54,29.4,former,light,poor,moderate,good,moderate,moderate,-9.899999999999999,19.5,9.899999999999999,0.0,69.8
25-29,53.4,former,sedentary,poor,moderate,excellent,minimal,strong,-5.6,47.8,5.6,0.0,61.2
60-64,19.8,never,moderate,excellent,light,excellent,minimal,strong,8.2,28.0,0.0,8.2,33.6
60-64,19.8,current_light,sedentary,excellent,moderate,poor,minimal,limited,-9.1,10.700000000000001,9.1,0.0,68.2
30-34,48.6,former,light,poor,none,average,moderate,moderate,-9.0,39.6,9.0,0.0,68.0
30-34,48.6,former,moderate,average,heavy,good,minimal,moderate,-6.6000000000000005,42.0,6.6000000000000005,0.0,63.2
45-49,34.2,never,sedentary,good,moderate,good,low,moderate,-5.3,28.900000000000002,5.3,0.0,60.6
40-44,39.0,current_light,vigorous,average,moderate,good,moderate,strong,-4.2,34.8,4.2,0.0,58.4
35-39,43.8,former,light,good,none,average,high,moderate,-8.1,35.699999999999996,8.1,0.0,66.2
60-64,19.8,never,moderate,excellent,heavy,poor,low,strong,-1.8999999999999995,17.900000000000002,1.8999999999999995,0.0,53.8
35-39,43.8,former,sedentary,excellent,moderate,excellent,low,limited,-4.7,39.099999999999994,4.7,0.0,59.4
55-59,24.6,former,vigorous,good,none,good,low,strong,2.5,27.1,0.0,2.5,45.0
45-49,34.2,current_light,light,poor,none,excellent,moderate,limited,-10.599999999999998,23.600000000000005,10.599999999999998,0.0,71.19999999999999
55-59,24.6,current_heavy,moderate,excellent,moderate,average,low,limited,-9.0,15.600000000000001,9.0,0.0,68.0
45-49,34.2,current_heavy,vigorous,excellent,moderate,good,minimal,isolated,-5.8,28.400000000000002,5.8,0.0,61.6
40-44,39.0,current_heavy,sedentary,poor,moderate,poor,high,strong,-20.6,18.4,20.6,0.0,91.2
60-64,19.8,current_heavy,moderate,poor,light,excellent,moderate,strong,-9.499999999999996,10.300000000000004,9.499999999999996,0.0,69.0
65-69,15.0,former,sedentary,good,heavy,poor,moderate,moderate,-14.699999999999998,0.3000000000000025,14.699999999999998,0.0,79.39999999999999
40-44,39.0,current_light,sedentary,average,heavy,average,moderate,limited,-18.3,20.7,18.3,0.0,86.6
20-24,58.2,current_heavy,sedentary,average,moderate,average,minimal,isolated,-16.9,41.300000000000004,16.9,0.0,83.8
45-49,34.2,current_light,light,excellent,moderate,good,low,isolated,-8.2,26.000000000000004,8.2,0.0,66.4
40-44,39.0,former,sedentary,poor,moderate,average,high,limited,-16.400000000000002,22.599999999999998,16.400000000000002,0.0,82.80000000000001
50-54,29.4,current_heavy,moderate,average,moderate,good,high,strong,-12.299999999999997,17.1,12.299999999999997,0.0,74.6
55-59,24.6,never,vigorous,excellent,none,poor,moderate,moderate,2.3,26.900000000000002,0.0,2.3,45.4
60-64,19.8,current_light,moderate,good,heavy,poor,minimal,isolated,-13.099999999999998,6.700000000000003,13.099999999999998,0.0,76.19999999999999
50-54,29.4,current_heavy,sedentary,good,heavy,excellent,moderate,isolated,-20.2,9.2,20.2,0.0,90.4
45-49,34.2,never,vigorous,average,heavy,excellent,minimal,moderate,-0.40000000000000013,33.800000000000004,0.40000000000000013,0.0,50.8
55-59,24.6,former,moderate,good,none,good,low,isolated,-4.8,19.8,4.8,0.0,59.6
40-44,39.0,current_light,moderate,poor,moderate,good,moderate,moderate,-10.799999999999999,28.200000000000003,10.799999999999999,0.0,71.6
35-39,43.8,never,vigorous,good,heavy,poor,moderate,limited,-6.9,36.9,6.9,0.0,63.8
35-39,43.8,current_heavy,sedentary,good,light,poor,moderate,moderate,-16.099999999999998,27.7,16.099999999999998,0.0,82.19999999999999
30-34,48.6,current_heavy,light,excellent,light,average,high,moderate,-12.0,36.6,12.0,0.0,74.0
30-34,48.6,current_light,sedentary,poor,light,good,moderate,limited,-14.799999999999999,33.800000000000004,14.799999999999999,0.0,79.6
25-29,53.4,never,moderate,excellent,moderate,poor,low,isolated,-3.3,50.1,3.3,0.0,56.6
65-69,15.0,former,light,good,none,average,high,moderate,-8.1,6.9,8.1,0.0,66.2
40-44,39.0,current_heavy,light,poor,moderate,good,high,moderate,-18.4,20.6,18.4,0.0,86.8
45-49,34.2,never,sedentary,excellent,moderate,poor,low,moderate,-4.6,29.6,4.6,0.0,59.2
35-39,43.8,never,vigorous,average,none,excellent,low,limited,1.9999999999999996,45.8,0.0,1.9999999999999996,46.0
55-59,24.6,never,light,average,moderate,average,high,strong,-6.2,18.400000000000002,6.2,0.0,62.4
45-49,34.2,former,sedentary,average,none,excellent,moderate,moderate,-6.999999999999999,27.200000000000003,6.999999999999999,0.0,64.0
65-69,15.0,current_heavy,vigorous,good,moderate,poor,moderate,strong,-8.7,6.300000000000001,8.7,0.0,67.4
30-34,48.6,current_light,vigorous,poor,none,excellent,minimal,moderate,-2.4000000000000012,46.2,2.4000000000000012,0.0,54.800000000000004
50-54,29.4,current_light,moderate,excellent,none,average,low,isolated,-5.5,23.9,5.5,0.0,61.0
35-39,43.8,current_heavy,vigorous,good,light,poor,moderate,moderate,-9.7,34.099999999999994,9.7,0.0,69.4
35-39,43.8,never,vigorous,good,heavy,average,minimal,isolated,-4.3,39.5,4.3,0.0,58.6
65-69,15.0,current_heavy,moderate,average,moderate,excellent,low,strong,-7.399999999999998,7.600000000000002,7.399999999999998,0.0,64.8
45-49,34.2,current_heavy,light,good,moderate,poor,moderate,strong,-12.799999999999997,21.400000000000006,12.799999999999997,0.0,75.6
65-69,15.0,current_heavy,sedentary,average,none,good,minimal,limited,-12.699999999999998,2.3000000000000025,12.699999999999998,0.0,75.39999999999999
40-44,39.0,former,light,good,moderate,average,low,strong,-4.1,34.9,4.1,0.0,58.2
30-34,48.6,never,sedentary,excellent,moderate,poor,moderate,strong,-3.5999999999999996,45.0,3.5999999999999996,0.0,57.2
30-34,48.6,current_heavy,moderate,average,moderate,excellent,moderate,strong,-8.599999999999998,40.0,8.599999999999998,0.0,67.19999999999999
45-49,34.2,never,sedentary,average,heavy,poor,minimal,isolated,-13.099999999999998,21.100000000000005,13.099999999999998,0.0,76.19999999999999
35-39,43.8,current_heavy,moderate,good,heavy,good,minimal,moderate,-11.7,32.099999999999994,11.7,0.0,73.4
40-44,39.0,current_heavy,sedentary,average,moderate,poor,low,strong,-15.0,24.0,15.0,0.0,80.0
55-59,24.6,former,vigorous,good,none,excellent,moderate,strong,2.7,27.3,0.0,2.7,44.6
50-54,29.4,current_light,moderate,poor,heavy,excellent,minimal,isolated,-12.799999999999997,16.6,12.799999999999997,0.0,75.6
35-39,43.8,never,moderate,good,none,average,minimal,strong,3.7,47.5,0.0,3.7,42.6
35-39,43.8,former,vigorous,poor,light,good,minimal,isolated,-4.4,39.4,4.4,0.0,58.8
45-49,34.2,never,moderate,poor,light,excellent,moderate,moderate,-3.0,31.200000000000003,3.0,0.0,56.0
35-39,43.8,never,vigorous,excellent,light,excellent,low,moderate,6.5,50.3,0.0,6.5,37.0
65-69,15.0,current_light,vigorous,excellent,moderate,excellent,minimal,moderate,1.8999999999999995,16.9,0.0,1.8999999999999995,46.2
55-59,24.6,never,moderate,average,none,good,minimal,isolated,-1.5999999999999999,23.0,1.5999999999999999,0.0,53.2
50-54,29.4,current_heavy,moderate,excellent,moderate,excellent,moderate,moderate,-6.8999999999999995,22.5,6.8999999999999995,0.0,63.8
35-39,43.8,former,light,excellent,light,average,minimal,strong,1.7000000000000004,45.5,0.0,1.7000000000000004,46.6
65-69,15.0,never,vigorous,average,heavy,good,minimal,strong,0.40000000000000013,15.4,0.0,0.40000000000000013,49.2
45-49,34.2,current_heavy,light,average,moderate,excellent,minimal,strong,-7.399999999999998,26.800000000000004,7.399999999999998,0.0,64.8
50-54,29.4,never,light,excellent,none,poor,moderate,strong,0.3999999999999999,29.799999999999997,0.0,0.3999999999999999,49.2
40-44,39.0,never,vigorous,poor,heavy,excellent,high,isolated,-10.600000000000001,28.4,10.600000000000001,0.0,71.2
25-29,53.4,current_light,vigorous,good,moderate,good,high,isolated,-10.4,43.0,10.4,0.0,70.8
45-49,34.2,former,sedentary,excellent,none,poor,moderate,strong,-4.4,29.800000000000004,4.4,0.0,58.8
60-64,19.8,current_heavy,light,good,moderate,average,moderate,moderate,-13.7,6.100000000000001,13.7,0.0,77.4
20-24,58.2,current_heavy,moderate,good,light,average,high,isolated,-15.8,42.400000000000006,15.8,0.0,81.6
35-39,43.8,current_light,sedentary,average,light,good,high,moderate,-13.9,29.9,13.9,0.0,77.8
40-44,39.0,current_light,moderate,poor,heavy,good,low,limited,-14.299999999999999,24.700000000000003,14.299999999999999,0.0,78.6
65-69,15.0,current_light,vigorous,average,none,excellent,minimal,isolated,-3.0999999999999996,11.9,3.0999999999999996,0.0,56.2
20-24,58.2,current_light,vigorous,good,light,poor,high,moderate,-8.5,49.7,8.5,0.0,67.0
45-49,34.2,current_heavy,moderate,excellent,heavy,excellent,high,moderate,-12.799999999999999,21.400000000000006,12.799999999999999,0.0,75.6
45-49,34.2,former,sedentary,good,light,poor,minimal,isolated,-9.7,24.500000000000004,9.7,0.0,69.4
50-54,29.4,never,sedentary,excellent,heavy,average,low,limited,-8.0,21.4,8.0,0.0,66.0
45-49,34.2,current_light,vigorous,poor,light,poor,low,limited,-9.3,24.900000000000002,9.3,0.0,68.6
55-59,24.6,current_heavy,sedentary,good,light,average,low,limited,-14.7,9.900000000000002,14.7,0.0,79.4
60-64,19.8,former,sedentary,average,none,good,moderate,strong,-6.199999999999998,13.600000000000001,6.199999999999998,0.0,62.4
25-29,53.4,former,vigorous,poor,none,poor,moderate,moderate,-6.2,47.199999999999996,6.2,0.0,62.4
20-24,58.2,former,vigorous,poor,none,average,minimal,moderate,-1.9000000000000001,56.300000000000004,1.9000000000000001,0.0,53.8
50-54,29.4,current_heavy,vigorous,excellent,moderate,average,moderate,strong,-4.6,24.799999999999997,4.6,0.0,59.2
25-29,53.4,current_light,moderate,excellent,light,poor,high,limited,-9.1,44.3,9.1,0.0,68.2
65-69,15.0,current_light,vigorous,poor,light,excellent,low,moderate,-4.700000000000001,10.299999999999999,4.700000000000001,0.0,59.400000000000006
65-69,15.0,current_heavy,moderate,poor,light,good,moderate,limited,-14.199999999999998,0.8000000000000025,14.199999999999998,0.0,78.39999999999999
65-69,15.0,never,sedentary,average,heavy,average,high,moderate,-14.3,0.6999999999999993,14.3,0.0,78.6
50-54,29.4,former,vigorous,excellent,moderate,good,minimal,moderate,3.1999999999999997,32.6,0.0,3.1999999999999997,43.6
65-69,15.0,never,sedentary,average,light,poor,minimal,moderate,-5.499999999999999,9.5,5.499999999999999,0.0,61.0
45-49,34.2,current_light,sedentary,good,moderate,poor,low,limited,-13.7,20.500000000000004,13.7,0.0,77.4
40-44,39.0,current_heavy,sedentary,average,moderate,average,high,limited,-20.5,18.5,20.5,0.0,91.0
60-64,19.8,former,moderate,average,moderate,average,high,moderate,-9.1,10.700000000000001,9.1,0.0,68.2
20-24,58.2,current_light,moderate,good,moderate,poor,moderate,isolated,-12.5,45.7,12.5,0.0,75.0
60-64,19.8,current_light,vigorous,average,heavy,poor,moderate,strong,-9.899999999999999,9.900000000000002,9.899999999999999,0.0,69.8
50-54,29.4,current_heavy,moderate,excellent,light,good,moderate,limited,-8.2,21.2,8.2,0.0,66.4
65-69,15.0,current_light,light,excellent,moderate,good,low,limited,-6.5,8.5,6.5,0.0,63.0
45-49,34.2,former,vigorous,average,none,average,minimal,limited,-0.9000000000000004,33.300000000000004,0.9000000000000004,0.0,51.8
20-24,58.2,current_heavy,light,good,heavy,average,moderate,strong,-15.100000000000001,43.1,15.100000000000001,0.0,80.2
25-29,53.4,former,moderate,poor,none,average,high,isolated,-12.3,41.099999999999994,12.3,0.0,74.6
45-49,34.2,current_heavy,light,good,moderate,good,low,isolated,-14.5,19.700000000000003,14.5,0.0,79.0
25-29,53.4,current_light,moderate,poor,none,average,minimal,limited,-8.000000000000002,45.4,8.000000000000002,0.0,66.0
35-39,43.8,current_heavy,moderate,poor,none,poor,minimal,isolated,-14.499999999999996,29.3,14.499999999999996,0.0,79.0
45-49,34.2,former,vigorous,good,none,poor,minimal,isolated,-2.8,31.400000000000002,2.8,0.0,55.6
65-69,15.0,never,moderate,poor,moderate,good,moderate,strong,-3.4000000000000004,11.6,3.4000000000000004,0.0,56.8
25-29,53.4,current_light,vigorous,good,light,poor,high,limited,-9.6,43.8,9.6,0.0,69.2
35-39,43.8,current_heavy,moderate,average,none,poor,minimal,limited,-10.699999999999998,33.1,10.699999999999998,0.0,71.39999999999999
30-34,48.6,former,moderate,good,moderate,good,moderate,isolated,-7.7,40.9,7.7,0.0,65.4
45-49,34.2,former,sedentary,good,light,excellent,moderate,strong,-4.199999999999999,30.000000000000004,4.199999999999999,0.0,58.4
45-49,34.2,never,light,excellent,moderate,good,moderate,strong,0.8,35.0,0.0,0.8,48.4
65-69,15.0,current_heavy,sedentary,good,moderate,excellent,high,strong,-13.899999999999999,1.1000000000000014,13.899999999999999,0.0,77.8
55-59,24.6,former,moderate,excellent,light,average,moderate,strong,0.5,25.1,0.0,0.5,49.0
60-64,19.8,current_heavy,moderate,excellent,moderate,average,minimal,limited,-7.199999999999999,12.600000000000001,7.199999999999999,0.0,64.4
30-34,48.6,current_heavy,sedentary,excellent,none,poor,high,strong,-12.899999999999999,35.7,12.899999999999999,0.0,75.8
60-64,19.8,current_light,vigorous,poor,moderate,excellent,low,limited,-7.0,12.8,7.0,0.0,64.0
25-29,53.4,current_light,vigorous,poor,light,good,moderate,moderate,-7.300000000000001,46.099999999999994,7.300000000000001,0.0,64.6
45-49,34.2,former,light,poor,none,good,moderate,isolated,-11.0,23.200000000000003,11.0,0.0,72.0
65-69,15.0,former,light,good,heavy,average,low,moderate,-9.9,5.1,9.9,0.0,69.8
30-34,48.6,current_light,sedentary,good,moderate,average,moderate,moderate,-12.5,36.1,12.5,0.0,75.0
55-59,24.6,current_light,sedentary,poor,none,poor,moderate,limited,-16.4,8.200000000000003,16.4,0.0,82.8
60-64,19.8,current_heavy,vigorous,poor,none,excellent,high,strong,-9.0,10.8,9.0,0.0,68.0
35-39,43.8,current_light,vigorous,poor,heavy,average,low,strong,-9.5,34.3,9.5,0.0,69.0
65-69,15.0,current_light,vigorous,excellent,heavy,average,low,limited,-6.800000000000001,8.2,6.800000000000001,0.0,63.6
20-24,58.2,current_heavy,sedentary,excellent,moderate,average,minimal,strong,-7.999999999999999,50.2,7.999999999999999,0.0,66.0
35-39,43.8,current_light,light,excellent,none,poor,low,isolated,-8.600000000000001,35.199999999999996,8.600000000000001,0.0,67.2
50-54,29.4,current_light,moderate,poor,moderate,excellent,minimal,strong,-4.199999999999999,25.2,4.199999999999999,0.0,58.4
55-59,24.6,current_light,moderate,average,light,poor,moderate,limited,-10.7,13.900000000000002,10.7,0.0,71.4
40-44,39.0,former,sedentary,poor,none,excellent,low,strong,-5.7,33.3,5.7,0.0,61.4
65-69,15.0,never,sedentary,excellent,none,average,low,moderate,-1.5999999999999999,13.4,1.5999999999999999,0.0,53.2
40-44,39.0,current_heavy,sedentary,excellent,heavy,average,minimal,limited,-14.9,24.1,14.9,0.0,79.8
45-49,34.2,current_light,moderate,good,none,good,minimal,moderate,-2.9000000000000004,31.300000000000004,2.9000000000000004,0.0,55.8
30-34,48.6,current_light,sedentary,poor,moderate,good,minimal,moderate,-11.899999999999999,36.7,11.899999999999999,0.0,73.8
50-54,29.4,current_heavy,sedentary,good,light,excellent,moderate,isolated,-15.399999999999999,14.0,15.399999999999999,0.0,80.8
50-54,29.4,current_heavy,vigorous,excellent,light,excellent,low,isolated,-5.0,24.4,5.0,0.0,60.0
50-54,29.4,current_heavy,moderate,good,moderate,excellent,high,moderate,-11.999999999999998,17.4,11.999999999999998,0.0,74.0
20-24,58.2,current_light,sedentary,good,moderate,poor,moderate,strong,-11.599999999999998,46.60000000000001,11.599999999999998,0.0,73.19999999999999
65-69,15.0,current_light,sedentary,good,heavy,excellent,high,moderate,-16.200000000000003,0.0,16.200000000000003,0.0,82.4
65-69,15.0,former,sedentary,poor,none,poor,high,isolated,-17.7,0.0,17.7,0.0,85.4
55-59,24.6,current_light,sedentary,poor,moderate,good,moderate,moderate,-14.899999999999999,9.700000000000003,14.899999999999999,0.0,79.8
65-69,15.0,current_heavy,moderate,average,light,poor,low,isolated,-14.7,0.3000000000000007,14.7,0.0,79.4
40-44,39.0,current_light,light,excellent,heavy,excellent,low,moderate,-7.6,31.4,7.6,0.0,65.2
25-29,53.4,former,moderate,average,light,average,minimal,limited,-3.7000000000000006,49.699999999999996,3.7000000000000006,0.0,57.4
40-44,39.0,current_light,moderate,good,light,poor,moderate,isolated,-11.3,27.7,11.3,0.0,72.6
55-59,24.6,former,light,excellent,light,average,low,limited,-3.4,21.200000000000003,3.4,0.0,56.8
40-44,39.0,former,light,excellent,none,excellent,moderate,strong,1.4000000000000001,40.4,0.0,1.4000000000000001,47.2
50-54,29.4,never,moderate,excellent,moderate,excellent,moderate,moderate,1.8,31.2,0.0,1.8,46.4
55-59,24.6,current_light,vigorous,poor,heavy,average,moderate,strong,-10.7,13.900000000000002,10.7,0.0,71.4
30-34,48.6,current_light,moderate,poor,none,poor,high,isolated,-16.3,32.3,16.3,0.0,82.6
45-49,34.2,current_light,sedentary,good,light,poor,minimal,limited,-10.7,23.500000000000004,10.7,0.0,71.4
60-64,19.8,current_light,light,poor,none,poor,low,limited,-12.899999999999999,6.900000000000002,12.899999999999999,0.0,75.8
55-59,24.6,never,moderate,poor,moderate,poor,low,isolated,-9.3,15.3,9.3,0.0,68.6
30-34,48.6,current_heavy,vigorous,average,none,good,moderate,moderate,-8.2,40.400000000000006,8.2,0.0,66.4
20-24,58.2,never,light,average,moderate,good,low,limited,-5.200000000000001,53.0,5.200000000000001,0.0,60.400000000000006
20-24,58.2,current_light,sedentary,poor,light,average,low,isolated,-16.1,42.1,16.1,0.0,82.2
35-39,43.8,current_heavy,sedentary,average,moderate,excellent,moderate,moderate,-14.899999999999997,28.9,14.899999999999997,0.0,79.8
30-34,48.6,current_heavy,sedentary,excellent,moderate,average,high,strong,-13.3,35.3,13.3,0.0,76.6
20-24,58.2,former,moderate,good,none,excellent,moderate,strong,0.40000000000000013,58.6,0.0,0.40000000000000013,49.2
40-44,39.0,former,vigorous,average,none,poor,high,strong,-4.2,34.8,4.2,0.0,58.4
55-59,24.6,current_heavy,moderate,average,heavy,average,moderate,moderate,-16.599999999999998,8.000000000000004,16.599999999999998,0.0,83.19999999999999
60-64,19.8,never,moderate,average,light,poor,minimal,strong,0.8,20.6,0.0,0.8,48.4
60-64,19.8,former,light,good,moderate,average,low,isolated,-9.1,10.700000000000001,9.1,0.0,68.2
35-39,43.8,current_heavy,vigorous,excellent,light,excellent,high,limited,-6.799999999999999,37.0,6.799999999999999,0.0,63.599999999999994
25-29,53.4,current_heavy,vigorous,excellent,heavy,excellent,minimal,isolated,-7.999999999999998,45.4,7.999999999999998,0.0,66.0
55-59,24.6,current_light,sedentary,excellent,heavy,average,moderate,isolated,-16.1,8.5,16.1,0.0,82.2
60-64,19.8,current_light,light,good,heavy,good,minimal,strong,-7.8,12.0,7.8,0.0,65.6
65-69,15.0,never,sedentary,good,none,poor,moderate,isolated,-9.7,5.300000000000001,9.7,0.0,69.4
40-44,39.0,former,vigorous,good,light,good,moderate,isolated,-4.2,34.8,4.2,0.0,58.4
25-29,53.4,former,moderate,poor,moderate,good,high,isolated,-13.2,40.2,13.2,0.0,76.4
50-54,29.4,never,light,poor,none,poor,moderate,moderate,-7.8,21.599999999999998,7.8,0.0,65.6
30-34,48.6,former,sedentary,excellent,light,excellent,high,strong,-3.7,44.9,3.7,0.0,57.4
35-39,43.8,never,moderate,good,moderate,good,moderate,isolated,-5.199999999999999,38.599999999999994,5.199999999999999,0.0,60.4
40-44,39.0,former,light,poor,heavy,poor,minimal,limited,-13.7,25.3,13.7,0.0,77.4
50-54,29.4,former,vigorous,excellent,none,excellent,moderate,moderate,3.3,32.699999999999996,0.0,3.3,43.4
65-69,15.0,current_heavy,light,average,light,good,low,moderate,-11.6,3.4000000000000004,11.6,0.0,73.2
55-59,24.6,former,light,average,light,average,minimal,limited,-5.5,19.1,5.5,0.0,61.0
55-59,24.6,current_light,light,poor,light,good,minimal,isolated,-11.2,13.400000000000002,11.2,0.0,72.4
60-64,19.8,former,moderate,average,light,average,minimal,strong,-0.40000000000000036,19.4,0.40000000000000036,0.0,50.8
50-54,29.4,former,light,average,none,excellent,moderate,moderate,-4.7,24.7,4.7,0.0,59.4
65-69,15.0,current_heavy,light,good,moderate,good,moderate,moderate,-12.899999999999999,2.1000000000000014,12.899999999999999,0.0,75.8
65-69,15.0,current_heavy,moderate,poor,heavy,average,high,isolated,-23.8,0.0,23.8,0.0,97.6
30-34,48.6,never,vigorous,average,moderate,average,minimal,moderate,0.9999999999999998,49.6,0.0,0.9999999999999998,48.0
35-39,43.8,former,moderate,good,moderate,good,low,isolated,-6.5,37.3,6.5,0.0,63.0
40-44,39.0,never,moderate,good,none,poor,minimal,moderate,0.19999999999999996,39.2,0.0,0.19999999999999996,49.6
65-69,15.0,former,light,good,heavy,excellent,minimal,limited,-7.0,8.0,7.0,0.0,64.0
20-24,58.2,never,sedentary,poor,light,average,low,limited,-9.2,49.0,9.2,0.0,68.4
60-64,19.8,never,vigorous,poor,light,excellent,moderate,strong,1.4999999999999998,21.3,0.0,1.4999999999999998,47.0
30-34,48.6,current_light,sedentary,excellent,none,excellent,moderate,limited,-6.900000000000002,41.7,6.900000000000002,0.0,63.800000000000004
65-69,15.0,current_heavy,vigorous,average,moderate,excellent,minimal,isolated,-8.299999999999999,6.700000000000001,8.299999999999999,0.0,66.6
50-54,29.4,never,sedentary,average,none,average,low,isolated,-8.299999999999999,21.1,8.299999999999999,0.0,66.6
50-54,29.4,current_heavy,moderate,good,moderate,good,minimal,limited,-9.199999999999998,20.200000000000003,9.199999999999998,0.0,68.39999999999999
40-44,39.0,never,moderate,poor,moderate,excellent,moderate,strong,-2.0,37.0,2.0,0.0,54.0
30-34,48.6,current_heavy,light,good,moderate,good,low,moderate,-11.7,36.900000000000006,11.7,0.0,73.4
35-39,43.8,current_heavy,sedentary,poor,light,average,minimal,moderate,-15.0,28.799999999999997,15.0,0.0,80.0
65-69,15.0,current_heavy,moderate,average,moderate,good,low,isolated,-13.799999999999997,1.2000000000000028,13.799999999999997,0.0,77.6
40-44,39.0,former,vigorous,excellent,moderate,good,minimal,isolated,0.3999999999999999,39.4,0.0,0.3999999999999999,49.2
